activity_id,smiles,pAff
12114360,COc1cc(COc2ccc(NC(=O)CCCCCCC(=O)OCc3ccc(CN=[N+]=[N-])cc3)cc2)cc(N=[N+]=[N-])c1,4.07
1471558,CN(c1ccccc1)c1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N(C)c5ccccc5)cc4)c3)c2)cc1.[Br-].[Br-],5.66
19155032,NC(=O)c1ccc(-c2cncc(Cl)c2)cc1,4.85
24340729,O=C1c2cc(Cl)c3c4c(Oc5ccc(OCc6cn(CCCN7C[C@H](O)[C@@H](O)[C@H](O)[C@H]7CO)nn6)cc5)cc5c6c(cc(Oc7ccc(OCc8cn(CCCN9C[C@H](O)[C@@H](O)[C@H](O)[C@H]9CO)nn8)cc7)c(c7c(Cl)cc(c2c37)C(=O)N1Cc1cn(CCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)nn1)c64)C(=O)N(Cc1cn(CCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)nn1)C5=O,6.92
6422480,CCCCC(O)(c1ccc(Cl)cc1)c1cncnc1,6.3
13858364,COCCn1c(-c2ccccc2Cl)nc2c(N3CCN4C(=O)CCC4C3)nc(C)nc21.Cl,7.38
1454911,O=C(O)C(=O)/C=C(\O)c1ccccc1,5.24
5785977,COc1cccc(NC(=O)c2ccccc2)c1,4.95
16360102,O=c1nc(OCC2COCCO2)cc2n1CCc1ccccc1-2,7.0
16897490,NS(O)(O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,7.26
2692420,COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,4.75
13270558,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.36
2068836,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,4.12
19176729,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,7.6
25673437,C[C@H]1CCN1c1nc(-c2cn[nH]c2)cc(C(F)(F)F)c1C#N,8.22
2036328,COc1ccc(/C=C/C(=O)c2ccc(N3C(=O)C=CC3=O)cc2)cc1,5.1
