rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
6mv1_1.pdb_6mv1_1_NAD_C.pdb,NAD,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,63.0
6mgc_1.pdb_6mgc_1_C5P_B.pdb,C5P,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]2O,O=c1ncccn1[C@H]1CCCO1,O=c1ncccn1C1CCCO1,23,95.0
5cxw_1.pdb_5cxw_1_35P_C.pdb,35P,CC1(C)S[C@@H](N[C@H]1C(O)=O)[C@H](NC(=O)COc2ccccc2)C=O,O=C(COc1ccccc1)NC[C@@H]1NCCS1,O=C(COc1ccccc1)NCC1NCCS1,24,151.0
6wl5_4.pdb_6wl5_4_16A_Y.pdb,16A,CCCCCCCCCCCCCCCC[N+](C)(C)C,,,0,120.0
7g00_12.pdb_7g00_12_WII_MA.pdb,WII,CC(C)(C)c1onc(n1)c2c3CCCCc3sc2NC(=O)C4=C(CCC4)C(O)=O,O=C(Nc1sc2c(c1-c1ncon1)CCCC2)C1=CCCC1,O=C(Nc1sc2c(c1-c1ncon1)CCCC2)C1=CCCC1,25,32.0
2ij5_3.pdb_2ij5_3_HEM_L.pdb,HEM,CC1=C(CCC(O)=O)C2=Cc3n4[Fe]5|6|N2=C1C=c7n5c(=CC8=N|6C(=Cc4c(C)c3CCC(O)=O)C(=C8C=C)C)c(C)c7C=C,,,0,
1mvl_2.pdb_1mvl_2_FMN_B.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,93.0
3e4w_1.pdb_3e4w_1_HEM_C.pdb,HEM,CC1=C(CCC(O)=O)C2=Cc3n4[Fe]5|6|N2=C1C=c7n5c(=CC8=N|6C(=Cc4c(C)c3CCC(O)=O)C(=C8C=C)C)c(C)c7C=C,,,0,64.0
3vkg_3.pdb_3vkg_3_ADP_M.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,120.0
3vkg_3.pdb_3vkg_3_ADP_L.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,29.0
3vkg_3.pdb_3vkg_3_ADP_J.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,131.0
3vkg_3.pdb_3vkg_3_ADP_K.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,20.0
